position,variable,label,storage_type,n_valid,n_missing,n_distinct,value_labels,min,max
11,Q1001,Q1001. How old are you?,float64,2406,0,70,"{""99999"": ""Refused to answer""}",18.0,99999.0
12,Q1001YEAR,Q1001YEAR. What year were you born?,float64,111,2295,51,"{""99999"": ""Refused to answer""}",1938.0,99999.0
13,Q1001APPROX,Q1001APPROX. Could you please tell me your approximate age?,float64,6,2400,1,"{""99999"": ""Refused to answer""}",1.0,1.0
14,Q1002,Q1002. Gender,float64,2406,0,2,"{""1"": ""Male"", ""2"": ""Female""}",1.0,2.0
15,Q1014C,"Q1014C. Including yourself, what is the total number of family members who live in this household on a permanent basis?",float64,2406,0,10,,1.0,10.0
16,Q1014D,"Q1014D. Of the total number of people who live in this household, how many are age 18 and over?",float64,2406,0,10,"{""99"": ""Refused to answer""}",1.0,10.0
17,Q1014E,"Q1014E. Of the total number of people who live in this household, how many are under the age of 18?",float64,2406,0,10,"{""99"": ""Refused to answer""}",0.0,10.0
18,Q2061A,Q2061A. What is the most important challenge facing  today?,float64,2406,0,11,"{""1"": ""Economic situation"", ""2"": ""Corruption"", ""6"": ""Instability"", ""7"": ""Foreign interference"", ""12"": ""Public services"", ""17"": ""Climate change"", ""18"": ""Immigration"", ""64"": ""Terrorism"", ""65"": ""Settler terrorism"", ""90"": ""Other"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
19,Q2061A_KUW,,float64,0,2406,0,"{""1"": ""Economic situation"", ""2"": ""Corruption"", ""9"": ""Foreign investments"", ""10"": ""Laws and legislations"", ""12"": ""Public services"", ""17"": ""Climate change"", ""90"": ""Other"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,
20,Q262,Q262. Which of the following economic issues do you think is the most serious one facing?,float64,2406,0,9,"{""1"": ""Low wages, salaries"", ""2"": ""Lack of jobs"", ""3"": ""Unaffordable housing"", ""4"": ""Poverty"", ""5"": ""Inflation"", ""6"": ""Inequality"", ""7"": ""Access to loans and credit"", ""90"": ""Other"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,98.0
21,Q101,Q101. How would you evaluate the current economic situation in?,float64,2406,0,6,"{""1"": ""Very good"", ""2"": ""Good"", ""3"": ""Bad"", ""4"": ""Very bad"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
22,Q102,"Q102. In your opinion, what will be the economic situation in  during the next few years (2-3 years) compared to the current situation?",float64,2406,0,7,"{""1"": ""Much better"", ""2"": ""Somewhat better"", ""3"": ""Almost the same"", ""4"": ""Somewhat worse"", ""5"": ""Much worse"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
23,Q114,"Q114. Do you think the gap between the rich and the poor a year ago was wider, the same, or narrower than it is now?",float64,2406,0,5,"{""1"": ""Wider"", ""2"": ""Same"", ""3"": ""Narrower"", ""97"": ""The gap between the rich and the poor is not a problem"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,98.0
24,Q127_1A,Q127_1A Availability of food,float64,1231,1175,5,"{""1"": ""To a great extent"", ""2"": ""To a medium extent"", ""3"": ""To a small extent"", ""4"": ""Not a problem at all"", ""98"": ""Don’t know"", ""99"": ""Decline to answer""}",1.0,98.0
25,Q127_1B,Q127_1B Affordability of food,float64,1175,1231,5,"{""1"": ""To a great extent"", ""2"": ""To a medium extent"", ""3"": ""To a small extent"", ""4"": ""Not a problem at all"", ""98"": ""Don’t know"", ""99"": ""Decline to answer""}",1.0,98.0
26,Q127_2A,Q127_2A Availability of housing,float64,1231,1175,5,"{""1"": ""To a great extent"", ""2"": ""To a medium extent"", ""3"": ""To a small extent"", ""4"": ""Not a problem at all"", ""98"": ""Don’t know"", ""99"": ""Decline to answer""}",1.0,98.0
27,Q127_2B,Q127_2B Affordability of housing,float64,1175,1231,5,"{""1"": ""To a great extent"", ""2"": ""To a medium extent"", ""3"": ""To a small extent"", ""4"": ""Not a problem at all"", ""98"": ""Don’t know"", ""99"": ""Decline to answer""}",1.0,98.0
28,Q112_2,Q112_2. “The food that we bought did not last and we did not have money to get more”,float64,2406,0,5,"{""1"": ""Often true"", ""2"": ""Sometimes true"", ""3"": ""Never true"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
29,Q112B,Q112B. Which of the following do you think is the biggest cause of food-related problems in?,float64,2406,0,11,"{""1"": ""Climate change"", ""2"": ""War in Ukraine"", ""3"": ""Wealth inequality"", ""4"": ""Inflation"", ""5"": ""Gov mismanagement"", ""6"": ""Protracted conflict"", ""7"": ""Economic sanctions"", ""90"": ""Other"", ""97"": ""Food insecurity is not a problem"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
30,Q129A_1,Q129A_1. Rely on less preferred and less expensive foods,float64,2406,0,5,"{""1"": ""Every day (7 days)"", ""2"": ""Most days (4-6 days)"", ""3"": ""Some days (1-3 days)"", ""4"": ""Never (0 days)"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,98.0
31,Q129A_2,Q129A_2. Limit portion size at mealtimes because of lack of money or availability of food,float64,2406,0,5,"{""1"": ""Every day (7 days)"", ""2"": ""Most days (4-6 days)"", ""3"": ""Some days (1-3 days)"", ""4"": ""Never (0 days)"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,98.0
32,Q130_1,My household does not take any of these actions,float64,2406,0,2,,0.0,1.0
33,Q130_2,Borrow money from family or friends to purchase food,float64,2406,0,2,,0.0,1.0
34,Q130_3,Buy food on credit,float64,2406,0,2,,0.0,1.0
35,Q130_4,Receive food donations or rely on support programs from the government,float64,2406,0,2,,0.0,1.0
36,Q130_5,Receive food donations or rely on support programs from religious institutions or charitable organizations,float64,2406,0,2,,0.0,1.0
37,Q130_98,Don’t know,float64,2406,0,2,,0.0,1.0
38,Q130_99,Refused to answer,float64,2406,0,2,,0.0,1.0
39,Q118_1,Q118_1 FIRST MOST IMPORTANT ISSUE,float64,2406,0,11,"{""1"": ""Create jobs"", ""2"": ""Raise wages"", ""3"": ""Limit inflation"", ""4"": ""Reform education"", ""5"": ""Encourage FDI"", ""6"": ""Support small business"", ""7"": ""Limit smuggling"", ""8"": ""Political stability"", ""90"": ""Other"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
40,Q118_2,Q118_2 SECOND MOST IMPORTANT ISSUE,float64,2406,0,11,"{""1"": ""Create jobs"", ""2"": ""Raise wages"", ""3"": ""Limit inflation"", ""4"": ""Reform education"", ""5"": ""Encourage FDI"", ""6"": ""Support small business"", ""7"": ""Limit smuggling"", ""8"": ""Political stability"", ""90"": ""Other"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
41,Q123,"Q123. Among the following, which should be the top priority for government spending in the coming year?",float64,1231,1175,10,"{""1"": ""Education system"", ""2"": ""Healthcare system"", ""3"": ""Reduce pollution"", ""4"": ""Improve roads, transport"", ""5"": ""National security"", ""6"": ""Subsidies"", ""7"": ""Fighting terrorism"", ""90"": ""Other"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
42,Q123B,"Q123B. Among the following, which should be the top priority for government spending in the coming year?",float64,1175,1231,11,"{""1"": ""Education system"", ""2"": ""Healthcare system"", ""3"": ""Reduce pollution"", ""4"": ""Improve roads, transport"", ""5"": ""National security"", ""6"": ""Subsidies"", ""7"": ""Fighting terrorism"", ""8"": ""Economic development"", ""90"": ""Other"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
43,Q123_KUW,,float64,0,2406,0,"{""1"": ""Education system"", ""2"": ""Healthcare system"", ""3"": ""Reduce pollution"", ""4"": ""Improve roads, transport"", ""5"": ""National security"", ""6"": ""Subsidies"", ""7"": ""Housing policy"", ""8"": ""Road repair"", ""90"": ""Other"", ""98"": ""Don’t know""}",,
44,Q103,"Q103 Generally speaking, would you say that “Most people can be trusted” or “that you must be very careful in dealing with people”?",float64,2406,0,3,"{""1"": ""Most can be trusted"", ""2"": ""Must be careful"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,98.0
45,Q201A_1,Q201A_1 Government (Council of Ministers),float64,2406,0,6,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
46,Q201A_2,Q201A_2 Courts and legal system,float64,2406,0,6,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
47,Q201A_3,Q201A_3 The elected council of representatives (the parliament).,float64,2406,0,6,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
48,Q201A_5,Q201A_5 ${Q201A_5_text},float64,2406,0,6,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
49,Q201A_41,Regional Government,float64,0,2406,0,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,
50,Q201A_41_WB,,float64,0,2406,0,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,
51,Q201A_41_GAZA,,float64,0,2406,0,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,
52,Q201A_7,Q201A_7 Civil society organizations,float64,2406,0,6,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
53,Q201A_31B,Q201A_31B President/Head of State,float64,2406,0,6,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
54,Q201A_31C,Q201A_31C Prime Minister/Head of Government,float64,0,2406,0,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,
55,Q201B_6,Q201B_6 The army,float64,2406,0,6,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
56,Q201B_4,Q201B_4 Police,float64,2406,0,6,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
57,Q201B_13,Q201B_13 Religious leaders,float64,2406,0,6,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
58,Q201B_12,Q201B_12 The main Sunni party,float64,2406,0,6,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
59,Q201B_14,Q201B_14 The main Shia party,float64,0,2406,0,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,
60,Q201B_15,Q201B_15 Tribal leaders,float64,0,2406,0,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,
61,Q105A,Q105A How would you rate the safety in your neighborhood?,float64,2406,0,5,"{""1"": ""Very safe"", ""2"": ""Somewhat safe"", ""3"": ""Somewhat unsafe"", ""4"": ""Very unsafe"", ""98"": ""Don’t know"", ""99"": ""Refuse to answer""}",1.0,99.0
62,Q277_1,Q277_1 Robberies,float64,2406,0,5,"{""1"": ""Frequently"", ""2"": ""Sometimes"", ""3"": ""Rarely"", ""4"": ""Never"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,98.0
63,Q277_2,Q277_2 Street violence and fights,float64,2406,0,5,"{""1"": ""Frequently"", ""2"": ""Sometimes"", ""3"": ""Rarely"", ""4"": ""Never"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,98.0
64,Q204A_3,Q204A_3 The government’s performance overall in our country,float64,2406,0,6,"{""1"": ""Completely satisfied"", ""2"": ""Satisfied"", ""3"": ""Dissatisfied"", ""4"": ""Completely dissatisfied"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
65,Q204A_1,Q204A_1 The educational system in our country,float64,2406,0,6,"{""1"": ""Completely satisfied"", ""2"": ""Satisfied"", ""3"": ""Dissatisfied"", ""4"": ""Completely dissatisfied"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
66,Q204A_2,Q204A_2 The healthcare system in our country,float64,2406,0,6,"{""1"": ""Completely satisfied"", ""2"": ""Satisfied"", ""3"": ""Dissatisfied"", ""4"": ""Completely dissatisfied"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
67,Q204A_4,Q204A_4 The quality of the streets in our country,float64,2406,0,6,"{""1"": ""Completely satisfied"", ""2"": ""Satisfied"", ""3"": ""Dissatisfied"", ""4"": ""Completely dissatisfied"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
68,Q204A_5,Q204A_5 Trash collection in our country,float64,2406,0,5,"{""1"": ""Completely satisfied"", ""2"": ""Satisfied"", ""3"": ""Dissatisfied"", ""4"": ""Completely dissatisfied"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,98.0
69,Q204A_6,Q204A_6 Provision of electricity in our country,float64,2406,0,4,"{""1"": ""Completely satisfied"", ""2"": ""Satisfied"", ""3"": ""Dissatisfied"", ""4"": ""Completely dissatisfied"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,4.0
70,Q204A_7,Q204A_7 Water supply in our country,float64,2406,0,6,"{""1"": ""Completely satisfied"", ""2"": ""Satisfied"", ""3"": ""Dissatisfied"", ""4"": ""Completely dissatisfied"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
71,Q204A_8,Q204A_8 Access to internet services in our country,float64,2406,0,6,"{""1"": ""Completely satisfied"", ""2"": ""Satisfied"", ""3"": ""Dissatisfied"", ""4"": ""Completely dissatisfied"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
72,Q204A_9,Q204A_9 Civil defense in our country,float64,2406,0,6,"{""1"": ""Completely satisfied"", ""2"": ""Satisfied"", ""3"": ""Dissatisfied"", ""4"": ""Completely dissatisfied"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
73,Q204A_10,,float64,0,2406,0,"{""1"": ""Completely satisfied"", ""2"": ""Satisfied"", ""3"": ""Dissatisfied"", ""4"": ""Completely dissatisfied"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,
74,Q204_2,Q204_2 Creating employment opportunities,float64,2406,0,7,"{""1"": ""Very good"", ""2"": ""Good"", ""3"": ""Bad"", ""4"": ""Very bad"", ""97"": ""This is not the government’s responsibility"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
75,Q204_3,Q204_3 Narrowing the gap between rich and poor,float64,2406,0,7,"{""1"": ""Very good"", ""2"": ""Good"", ""3"": ""Bad"", ""4"": ""Very bad"", ""97"": ""This is not the government’s responsibility"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
76,Q204_11,Q204_11 Providing security and order,float64,2406,0,7,"{""1"": ""Very good"", ""2"": ""Good"", ""3"": ""Bad"", ""4"": ""Very bad"", ""97"": ""This is not the government’s responsibility"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
77,Q204_20,Q204_20 Keeping prices down,float64,2406,0,6,"{""1"": ""Very good"", ""2"": ""Good"", ""3"": ""Bad"", ""4"": ""Very bad"", ""97"": ""This is not the government’s responsibility"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,98.0
78,Q273C,Q273C Which of the following actions would you think is most effective to influence a national government decision?,float64,1231,1175,10,"{""1"": ""Contact gov officials on social media"", ""2"": ""Use family connections with gov officials"", ""3"": ""Contact the media"", ""4"": ""Form a group"", ""5"": ""Work through a political party"", ""6"": ""Participate in a protest"", ""7"": ""Virtual campaign"", ""97"": ""Not applicable - nothing is effective"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
79,Q273C_KUW,,float64,0,2406,0,"{""1"": ""Contact gov officials on social media"", ""2"": ""Use family connections with gov officials"", ""3"": ""Contact the media"", ""4"": ""Form a group"", ""5"": ""Work through a political movement"", ""7"": ""Virtual campaign"", ""8"": ""Work through the National Assembly"", ""97"": ""Not applicable - nothing is effective"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,
80,Q273D,Q273D Which of the following actions would you think is least effective to influence a national government decision?,float64,1175,1231,10,"{""1"": ""Contact gov officials on social media"", ""2"": ""Use family connections with gov officials"", ""3"": ""Contact the media"", ""4"": ""Form a group"", ""5"": ""Work through a political party"", ""6"": ""Participate in a protest"", ""7"": ""Virtual campaign"", ""97"": ""Not applicable - nothing is effective"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
81,Q273D_KUW,,float64,0,2406,0,"{""1"": ""Contact gov officials on social media"", ""2"": ""Use family connections with gov officials"", ""3"": ""Contact the media"", ""4"": ""Form a group"", ""5"": ""Work through a political movement"", ""7"": ""Virtual campaign"", ""8"": ""Work through the National Assembly"", ""97"": ""Not applicable - nothing is effective"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,
82,Q210,Q210 To what extent do you think that there is corruption within the national state agencies and institutions in your country?,float64,2406,0,6,"{""1"": ""To a large extent"", ""2"": ""To a medium extent"", ""3"": ""To a small extent"", ""4"": ""Not at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
83,Q211_2,"Q211_2 In your opinion, to what extent is the national government working to crackdown on corruption in your country",float64,2331,75,5,"{""1"": ""To a large extent"", ""2"": ""To a medium extent"", ""3"": ""To a small extent"", ""4"": ""Not at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,98.0
84,Q211B,Q211B How widespread do you think corruption is in local government/your municipality/your local council?,float64,1231,1175,6,"{""1"": ""Hardly anyone"", ""2"": ""Not a lot"", ""3"": ""Most"", ""4"": ""Almost everyone"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
85,Q211C,Q211C To what extent do you think that there is corruption within the local/municipal agencies and institutions in your country?,float64,1175,1231,6,"{""1"": ""To a large extent"", ""2"": ""To a medium extent"", ""3"": ""To a small extent"", ""4"": ""Not at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
86,Q270_1,Q270_1 Get a job,float64,1231,1175,5,"{""1"": ""Frequently"", ""2"": ""Sometimes"", ""3"": ""Rarely"", ""4"": ""Never"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,98.0
87,Q270_2,Q270_2 Get legal documents from public institutions,float64,1231,1175,5,"{""1"": ""Frequently"", ""2"": ""Sometimes"", ""3"": ""Rarely"", ""4"": ""Never"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,98.0
88,Q271_1,Q271_1 Get a job,float64,1174,1232,5,"{""1"": ""Frequently"", ""2"": ""Sometimes"", ""3"": ""Rarely"", ""4"": ""Never"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,98.0
89,Q271_2,Q271_2 Get legal documents from public institutions,float64,1175,1231,6,"{""1"": ""Frequently"", ""2"": ""Sometimes"", ""3"": ""Rarely"", ""4"": ""Never"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
90,Q276,Q276 How well do you think the government responds to what people want?,float64,2406,0,6,"{""1"": ""Very responsive"", ""2"": ""Largely responsive"", ""3"": ""Not very responsive"", ""4"": ""Not responsive at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
91,Q404,"Q404 In general, to what extent are you interested in politics?",float64,2406,0,6,"{""1"": ""Very interested"", ""2"": ""Interested"", ""3"": ""Uninterested"", ""4"": ""Very uninterested"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
92,Q501D,"Q501D In a typical month, do you volunteer your time to do unpaid work for or support a cause that you care about?",float64,2406,0,4,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
93,Q501E_2,Q501E_2 Open Ansewr,float64,1014,1392,15,"{""1"": ""Art, music, drama"", ""2"": ""Building and construction"", ""3"": ""Charity"", ""4"": ""Children and youth"", ""5"": ""Economic development"", ""6"": ""Education"", ""7"": ""Environment"", ""8"": ""Health"", ""9"": ""Political development"", ""10"": ""Religious activity"", ""11"": ""Sports"", ""12"": ""Women’s empowerment"", ""90"": ""Other"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
94,Q266,"Q266 In a typical month, do you donate money to a charity or those in need?",float64,2406,0,4,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
95,Q552_1A,"Q552_1A Made a political statement through art, writing, or music",float64,1231,1175,3,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,98.0
96,Q552_1B,"Q552_1B Participated in an in-person protest, demonstration, strike, or boycott",float64,1175,1231,3,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,98.0
97,Q552_2A,Q552_2A Contacted government officials or institutions via social media,float64,1231,1175,4,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,99.0
98,Q552_2B,Q552_2B Contacted government officials or institutions using wasta,float64,1175,1231,3,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,98.0
99,Q552_3A,Q552_3A Boycotted a brand,float64,1231,1175,3,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",1.0,98.0
